év;név;ország;sportág;helyezés
2012;Mitchell WATT;AUS;távolugrás;2
1900;Patrick Joseph LEAHY;GBR;magasugrás;2
1932;Paul WINTER;FRA;diszkoszvetés;1
1920;Armas Rudolf TAIPALE;FIN;diszkoszvetés;2
1996;Inna LASOVSKAYA;RUS;hármasugrás;2
2012;Sandra PERKOVIC;CRO;diszkoszvetés;1
1988;Lawrence Ellwyne MYRICKS;USA;távolugrás;1
1928;Vilho Immanuel TUULOS;FIN;hármasugrás;1
1960;Richard Lee COCHRAN;USA;diszkoszvetés;1
1980;Yaak UUDMAE;URS;hármasugrás;1
1988;Beate KOCH;GDR;gerelyhajítás;1
1922;Donald Robert LAZ;USA;rúdugrás;2
1900;Irving BAXTER;USA;helyből magasugrás;2
1936;John Patrick METCALFE;AUS;hármasugrás;1
2000;Osleidys MENENDEZ;CUB;gerelyhajítás;1
1980;Jörg FREIMUTH;GDR;magasugrás;1
1981;Teresa SANDERSON;GBR;gerelyhajítás;1
1920;Frans Wilhelmi PÖRHÖLÄ;FIN;súlylökés;1
1901;Meyer PRINSTEIN;USA;hármasugrás;1
2001;Danila BURKENYA;RUS;hármasugrás;1
1918;Kaj Tapio RAUTAVAARA;FIN;gerelyhajítás;1
1912;Georg ABERG;SWE;távolugrás;1
1922;William Preston MILLER;USA;gerelyhajítás;2
1980;Margitta DROESE-PUFE;GDR;súlylökés;1
1960;Gergely KULCSAR;HUN;gerelyhajítás;1
1992;Roberto S, MOYA;CUB;diszkoszvetés;1
2012;Barbora SPOTAKOVA;CZE;gerelyhajítás;1
1961;Tamara PRESS;URS;súlylökés;1
2008;Tatyana LEBEDEVA;RUS;hármasugrás;2
1968;Jolan KLEIBER-KONTSEK;HUN;diszkoszvetés;1
1988;Petra FELKE-MEIER;GDR;gerelyhajítás;1
1912;Emil MAGNUSSON;SWE;kétkezes diszkoszvetés;1
1900;John Jesus FLANAGAN;USA;kalapácsvetés;1
1921;Glenn HARTRANFT;USA;súlylökés;2
1960;Jaroslawa JOZWIAKOWSKA-BIEDA;POL;magasugrás;1
1912;Konstantinos TSICLITIRAS;GRE;helyből magasugrás;1
1960;William Patrick Jr, O'Brien;USA;súlylökés;2
2000;Abderrahmane HAMMAD;ALG;magasugrás;1
1922;Imre NEMETH;HUN;kalapácsvetés;1
2000;Javier SOTOMAYOR;CUB;magasugrás;2
1908;Bruno SÖDERSTRÖM;SWE;rúdugrás;1
1920;Henry PETERSEN;DEN;rúdugrás;2
1980;Jacek WSZOLA;POL;magasugrás;2
1988;Sergey BUBKA;URS;rúdugrás;1
2012;Primoz KOZMUS;SLO;kalapácsvetés;2
1908;Marquis Franklin HORR;USA;diszkoszvetés;1
1912;Mor KOVACS;HUN;gerelyhajítás;1
2008;Francoise MBANGO ETONE;CMR;hármasugrás;1
2012;Ivan UKHOV;RUS;magasugrás;1
1921;Leroy Taylor BROWN;USA;magasugrás;2
1928;Erik H, LUNDQVIST;SWE;gerelyhajítás;1
2012;Koji MUROFUSHI;JPN;kalapácsvetés;1
2008;Maria ABAKUMOVA;RUS;gerelyhajítás;2
1992;Karen FORKEL;GER;gerelyhajítás;1
1916;Joao Carlos DE OLIVEIRA;BRA;hármasugrás;1
1988;Yuri SEDYKH;URS;kalapácsvetés;2
1981;Carl LEWIS;USA;távolugrás;1
1920;Richmond LANDON;USA;magasugrás;1
1900;Ray EWRY;USA;helyből hármasugrás;1
1922;James Leo DILLION;USA;diszkoszvetés;1
2008;Andrei MIKHNEVICH;BLR;súlylökés;1
1908;Ray EWRY;USA;helyből magasugrás;1
1980;Frank PASCHEK;GDR;távolugrás;2
2000;Kirsten MUENCHOW;GER;kalapácsvetés;1
1918;Amelia PICCININI;ITA;súlylökés;2
1922;Odon FOLDESSY;HUN;távolugrás;1
1922;Esther Cornelia BRAND;RSA;magasugrás;1
1920;Elmer Konstantin NIKLANDER;FIN;súlylökés;2
1901;Paul WEINSTEIN;GER;magasugrás;1
2001;Olga KUZENKOVA;RUS;kalapácsvetés;1
1912;Juho Julius SAARISTO;FIN;gerelyhajítás;2
1961;Jozef SCHMIDT;POL;hármasugrás;1
1912;Eric LEMMING;SWE;gerelyhajítás;1
2008;Blessing OKAGBARE;NGR;távolugrás;1
1961;Lynn DAVIES;GBR;távolugrás;1
1920;Patrick RYAN;USA;kalapácsvetés;1
1926;Alfred OERTER;USA;diszkoszvetés;1
1936;Shuhei NISHIDA;JPN;rúdugrás;2
1916;Yuri SEDYKH;URS;kalapácsvetés;1
1916;David Luther ROBERTS;USA;rúdugrás;1
2008;Barbora SPOTAKOVA;CZE;gerelyhajítás;1
1900;Irving BAXTER;USA;helyből távolugrás;2
2001;Joan Lino MARTINEZ;ESP;távolugrás;1
1916;Ruth FUCHS;GDR;gerelyhajítás;1
1912;Klaus WOLFERMANN;FRG;gerelyhajítás;1
1988;Jackie JOYNER-KERSEE;USA;távolugrás;1
1912;Vassilka STOEVA;BUL;diszkoszvetés;1
2008;Yarelys BARRIOS;CUB;diszkoszvetés;2
1912;Duncan GILLIS;CAN;kalapácsvetés;2
1901;Robert STANGLAND;USA;hármasugrás;1
1988;Galina CHISTYAKOVA;URS;távolugrás;1
1996;Artur PARTYKA;POL;magasugrás;2
1936;Masao HARADA;JPN;hármasugrás;2
1912;Platt ADAMS;USA;helyből magasugrás;1
1900;Robert GARRETT;USA;helyből hármasugrás;1
1932;Peter Timothy ZAREMBA;USA;kalapácsvetés;1
2001;Vadims VASILEVSKIS;LAT;gerelyhajítás;2
1981;Dietmar MÖGENBURG;FRG;magasugrás;1
1996;Seppo Henrik RATY;FIN;gerelyhajítás;1
1932;John Franklin ANDERSON;USA;diszkoszvetés;1
2012;Renaud LAVILLENIE;FRA;rúdugrás;1
1968;Gergely KULCSAR;HUN;gerelyhajítás;1
1996;Louise MCPAUL;AUS;gerelyhajítás;2
1996;Charles AUSTIN;USA;magasugrás;1
1926;Thelma Elizabeth HOPKINS;GBR;magasugrás;2
1980;Yuri TAMM;URS;kalapácsvetés;1
1921;Harold Marion OSBORN;USA;magasugrás;1
1932;George G, JEFFERSON;USA;rúdugrás;1
1992;Jan ZELEZNY;TCH;gerelyhajítás;1
1981;Malcolm Maurice WILKINS;USA;diszkoszvetés;2
1968;Margitta HELMBOLD-GUMMEL;GDR;súlylökés;1
2008;Leevan SANDS;BAH;hármasugrás;1
1916;Malcolm Maurice WILKINS;USA;diszkoszvetés;1
1912;William HALPENNY;CAN;rúdugrás;1
1968;Mihaela PENES;ROU;gerelyhajítás;2
1912;Ruth FUCHS;GDR;gerelyhajítás;1
2001;Sergey MAKAROV;RUS;gerelyhajítás;1
1896;Ellery CLARK;USA;magasugrás;1
1936;Giorgio OBERWEGER;ITA;diszkoszvetés;1
2012;Krisztian PARS;HUN;kalapácsvetés;1
1981;Karl-Hans RIEHM;FRG;kalapácsvetés;2
1988;Carl LEWIS;USA;távolugrás;1
2008;Yaroslav RYBAKOV;RUS;magasugrás;1
1968;Edward J, Jr, CARUTHERS;USA;magasugrás;2
1988;Rudolf POVARNITSIN;URS;magasugrás;1
1921;Lemuel Clarence HOUSER;USA;diszkoszvetés;1
1960;Elvira OZOLINA;URS;gerelyhajítás;1
1912;Erik ALMLÖF;SWE;hármasugrás;1
1926;Vilhjalmur EINARSSON;ISL;hármasugrás;2
1922;Aleksandra CHUDINA;URS;magasugrás;1
1981;Giovanni EVANGELISTI;ITA;távolugrás;1
1896;Georgios PAPASIDERIS;GRE;súlylökés;1
1900;Richard SHELDON;USA;diszkoszvetés;1
1968;Antonina OKOROKOVA-LAZAREVA;URS;magasugrás;2
1918;Robert Howard BENNETT;USA;kalapácsvetés;1
1908;Marquis Franklin HORR;USA;klasszikus stílusú diszkoszvetés;2
1912;Jochen SACHSE;GDR;kalapácsvetés;2
1992;Steve BACKLEY;GBR;gerelyhajítás;1
1901;John Jesus FLANAGAN;USA;kalapácsvetés;1
1961;Dallas Crutcher III LONG;USA;súlylökés;1
1916;Ivanka Mikailova CHRISTOVA-TODOROVA;BUL;súlylökés;1
1912;Benjamin W, ADAMS;USA;helyből magasugrás;2
1980;Konstantin VOLKOV;URS;rúdugrás;2
2000;Szymon ZIOLKOWSKI;POL;kalapácsvetés;1
1981;Fatima WHITBREAD;GBR;gerelyhajítás;1
1961;Lia MANOLIU;ROU;diszkoszvetés;1
1921;Matthew J, MCGRATH;USA;kalapácsvetés;2
1961;Yanis LUSIS;URS;gerelyhajítás;1
2001;Tatyana LEBEDEVA;RUS;távolugrás;1
1936;Paula MOLLENHAUER;GER;diszkoszvetés;1
1992;Joanet QUINTERO;CUB;magasugrás;1
1932;Eva DAWES-SPINKS;CAN;magasugrás;1
1926;Galina ZYBINA;URS;súlylökés;2
1908;Werner JÄRVINEN;FIN;klasszikus stílusú diszkoszvetés;1
1992;Charles SIMPKINS;USA;hármasugrás;2
1908;Alfred Carleten GILBERT;USA;rúdugrás;1
2008;Denys YURCHENKO;UKR;rúdugrás;1
2000;Igor ASTAPKOVICH;BLR;kalapácsvetés;1
1908;Arne HALSE;NOR;szabad stílusú gerelyhajítás;1
1960;Iolanda BALAS;ROU;magasugrás;1
2008;Steve HOOKER;AUS;rúdugrás;1
1961;David Lawson WEILL;USA;diszkoszvetés;1
1960;Vitold KREER;URS;hármasugrás;1
1980;Wladyslaw KOZAKIEWICZ;POL;rúdugrás;1
1912;Laurence Atwood WHITNEY;USA;súlylökés;1
1992;Mike CONLEY;USA;hármasugrás;1
2008;Nadzeya OSTAPCHUK;BLR;súlylökés;1
2001;Dwight PHILLIPS;USA;távolugrás;1
1981;Pierre QUINON;FRA;rúdugrás;1
1926;William Henry NIEDER;USA;súlylökés;2
2012;Robert HARTING;GER;diszkoszvetés;1
1980;Yuri SEDYKH;URS;kalapácsvetés;1
1908;Georges ANDRE;FRA;magasugrás;2
1932;Patrick O'CALLAGHAN;IRL;kalapácsvetés;1
1996;Jan ZELEZNY;CZE;gerelyhajítás;1
1996;Fiona MAY;ITA;távolugrás;2
1922;Dana INGROVA-ZATOPKOVA;TCH;gerelyhajítás;1
2001;Steffi NERIUS;GER;gerelyhajítás;2
1912;Juho Julius SAARISTO;FIN;kétkezes gerelyhajítás;1
2000;Vala FLOSADOTTIR;ISL;rúdugrás;1
1901;Ray EWRY;USA;helyből távolugrás;1
1926;Mikhail KRIVONOSOV;URS;kalapácsvetés;2
1922;Walter Francis DAVIS;USA;magasugrás;1
2012;Linda STAHL;GER;gerelyhajítás;1
2000;Tatyana LEBEDEVA;RUS;hármasugrás;2
2001;Yunaika CRAWFORD;CUB;kalapácsvetés;1
1988;Tamara BYKOVA;URS;magasugrás;1
1918;George Anthony STANICH;USA;magasugrás;1
1960;Gyula ZSIVOTZKY;HUN;kalapácsvetés;2
1908;Dennis HORGAN;GBR;súlylökés;2
1912;James Henry DUNCAN;USA;diszkoszvetés;1
1981;Rolf DANNEBERG;FRG;diszkoszvetés;1
1932;Charles Lambert REDD;USA;távolugrás;2
1981;Susan HEARNSHAW;GBR;távolugrás;1
1900;Irving BAXTER;USA;magasugrás;1
1900;Meredith Bright COLKETT;USA;rúdugrás;2
1980;Tatiana LESOVAIA;URS;diszkoszvetés;1
1932;Matti Henrik JARVINEN;FIN;gerelyhajítás;1
1901;Lawrence E, Joseph FEUERBACH;USA;súlylökés;1
1916;Tadeusz SLUSARSKI;POL;rúdugrás;1
1961;John Barnett RAMBO;USA;magasugrás;1
1932;Shuhei NISHIDA;JPN;rúdugrás;2
2000;Kamila SKOLIMOWSKA;POL;kalapácsvetés;1
1908;Timoty J, AHEARNE;GBR;hármasugrás;1
1922;Galina ZYBINA;URS;súlylökés;1
